Item Type,Types Of Items,Item Count,Disabled Item Count,Active Item Count,Max Checked Out,Max Checked Out Date,Utilization
Cordless Hedge Trimmers,1,3,1,2,2,2023-11-25 10:58:00,100.0
Cordless Jigsaws,1,2,0,2,0,,0.0
Grinders,4,26,10,16,11,2024-01-25 19:31:00,68.8
Bench Grinders,1,6,1,5,3,2023-04-26 18:54:00,60.0
Die Grinders,1,1,0,1,1,2023-11-25 11:57:00,100.0
Angle Grinders,1,13,7,6,7,2024-01-25 19:31:00,116.7
Lathes,1,4,1,3,1,2016-05-11 19:01:00,33.3
Power Sharpeners,2,1,0,1,1,2017-05-20 11:13:00,100.0
Joiners,4,2,1,1,2,2018-09-16 17:39:00,200.0
Biscuit Joiners,1,2,1,1,2,2018-09-16 17:39:00,200.0
Power Tool Accessories,1,4,0,4,4,2022-06-29 18:37:00,100.0
Air & Pneumatic Tools,17,50,20,30,17,2024-01-21 16:24:00,56.7
Compressors,1,10,2,8,6,2022-09-04 19:00:00,75.0
Air Tool Sets,1,1,0,1,1,2020-07-25 12:06:00,100.0
Jacks,3,14,4,10,3,2021-04-10 10:09:00,30.0
House Jack,1,7,1,6,2,2016-06-18 11:38:00,33.3
Air Brad Nailers,1,6,2,4,4,2024-01-21 16:24:00,100.0
Air Finish Nailers,1,3,1,2,2,2017-02-25 09:49:00,100.0
Air Staplers,1,3,2,1,1,2017-09-13 18:36:00,100.0
Air Wrenches,1,1,1,0,0,,
Air Sanders,1,1,0,1,1,2023-12-23 12:11:00,100.0
Bike Tools,9,98,25,73,11,2024-01-03 19:34:00,15.1
Bottom Bracket Tools,1,5,0,5,3,2019-09-15 17:09:00,60.0
"Brakes, Housing & Cable Tools",1,1,0,1,0,,0.0
Drive Train Tools,1,21,10,11,5,2017-05-10 21:06:00,45.5
Wheel Tools,1,39,8,31,8,2022-05-29 17:34:00,25.8
Bike Pressure Gauges,1,1,0,1,0,,0.0
Bike Repair Stands,1,3,1,2,2,2024-01-03 19:34:00,100.0
Propane & Gas Powered Tools,12,7,4,3,3,2023-01-21 12:05:00,100.0
Propane Torch Kit,1,7,4,3,3,2023-01-21 12:05:00,100.0
Meters & Diagnostics,28,33,20,13,11,2024-01-22 19:08:00,84.6
Multimeters,1,15,6,9,9,2024-01-22 19:08:00,100.0
Power Meters,4,2,0,2,2,2024-01-06 11:18:00,100.0
Non-logging Power Meters,1,1,0,1,1,2021-01-09 12:12:00,100.0
Distance Meters,1,1,1,0,1,2019-12-23 18:46:00,inf
Detectors,1,1,0,1,2,2024-01-02 19:04:00,200.0
Tachometers,1,1,1,0,0,,
Wheelbarrows & Wagons,3,4,2,2,3,2024-01-15 19:55:00,150.0
Wheelbarrow,1,4,2,2,3,2024-01-15 19:55:00,150.0
Safety Equipment,12,64,35,29,10,2024-01-13 10:32:00,34.5
Work Gloves,1,20,11,9,9,2017-05-17 19:12:00,100.0
Protective Goggles,1,10,5,5,4,2024-01-13 10:32:00,80.0
Respirators,1,5,0,5,3,2022-09-03 12:14:00,60.0
Safety Glasses,1,15,9,6,2,2019-05-11 10:40:00,33.3
Hearing Protection,3,3,1,2,2,2021-06-19 09:58:00,100.0
Ear Muffs,1,3,1,2,2,2021-06-19 09:58:00,100.0
Automotive Tools,10,81,30,51,46,2024-01-25 11:12:00,90.2
Jack Stands,1,15,4,11,14,2024-01-14 11:19:00,127.3
Automotive Jacks,1,9,3,6,7,2024-01-08 21:01:00,116.7
Garage Jacks,1,1,0,1,2,2022-10-15 11:54:00,200.0
Automotive Ramps,1,3,0,3,3,2024-01-08 21:01:00,100.0
Automotive Pressure Gauges,1,3,1,2,1,2018-11-03 11:44:00,50.0
Fencing Tools,8,7,3,4,3,2017-05-31 20:22:00,75.0
Post Hole Digger,1,7,3,4,3,2017-05-31 20:22:00,75.0
Garden Tools,14,89,26,63,16,2024-01-25 19:31:00,25.4
Weeders,3,14,1,13,3,2017-06-24 09:46:00,23.1
Hoes,1,22,10,12,8,2024-01-25 19:31:00,66.7
Seeders,5,3,0,3,1,2022-03-26 11:30:00,33.3
Hand Seeders,1,3,0,3,1,2022-03-26 11:30:00,33.3
Hand Tillers,1,1,0,1,1,2017-03-25 10:45:00,100.0
Planting Templates,2,1,1,0,1,2019-03-03 18:27:00,inf
Garden Hoses,1,28,12,16,4,2023-08-22 20:56:00,25.0
Garden Gloves,1,7,0,7,4,2024-01-25 19:31:00,57.1
Farm Tools,6,1,0,1,0,,0.0
Tractor Accessories,13,2,0,2,1,2016-07-13 18:53:00,50.0
Manure Spreaders,1,2,0,2,1,2016-07-13 18:53:00,50.0
Tree & Orchard Care Tools,12,40,27,13,8,2022-06-29 20:50:00,61.5
Chainsaws,7,7,6,1,4,2022-11-27 16:48:00,400.0
Pruning Saw,1,3,0,3,1,2017-12-30 10:59:00,33.3
Pruning Shears,1,30,21,9,4,2019-06-09 18:24:00,44.4
Orchard Sprayers,3,1,0,1,0,,0.0
Hand Pump Orchard Sprayers,1,1,0,1,0,,0.0
Plumbing Tools,1,30,11,19,3,2024-01-23 21:01:00,15.8
Heavy Equipment,9,2,1,1,2,2019-01-12 09:47:00,200.0
Earthmoving Equipment,7,2,1,1,2,2019-01-12 09:47:00,200.0
Welding,9,3,1,2,2,2018-11-14 19:25:00,100.0
Welders,1,3,1,2,2,2018-11-14 19:25:00,100.0
Welding Safety Equipment,10,4,3,1,2,2018-07-22 17:56:00,200.0
Welding Gloves,1,1,1,0,1,2022-01-16 18:36:00,inf
Welding Helmets,1,3,2,1,2,2018-07-22 17:56:00,200.0
MIG Welding,5,1,0,1,1,2021-04-27 20:47:00,100.0
MIG Welders,1,1,0,1,1,2021-04-27 20:47:00,100.0
"Chains, Ropes, and Straps",5,47,24,23,4,2021-12-08 18:44:00,17.4
Chains,1,2,0,2,1,2019-12-21 11:50:00,50.0
Bungee Cords,1,18,6,12,4,2021-12-08 18:44:00,33.3
Ropes,1,26,18,8,1,2017-12-13 18:12:00,12.5
Flooring Tools,4,21,6,15,5,2022-08-10 18:25:00,33.3
Carpet Tools,4,10,3,7,4,2023-05-07 17:34:00,57.1
Carpet Roller,1,2,0,2,1,2018-04-28 10:38:00,50.0
Tile Cutters,3,13,5,8,6,2024-01-09 19:09:00,75.0
Hand Tile Cutter,1,7,4,3,5,2024-01-09 19:09:00,166.7
