,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3410,5115,True,unknown,,2023-10-20,,Request_CheckIDAddressPhoneDOB,2023-10-20,,,,,,,,
3411,4369,True,unknown,,2023-03-05,2023-04-04,regular,2023-04-04,2024-04-04,,,,,,,
3412,1063,True,unknown,,2017-11-17,,Request_CheckIDAddressPhoneDOB,2017-11-16,,,,,,,,
3413,4663,False,unknown,,2023-06-03,2023-06-03,regular,2023-06-03,2024-06-03,,,,,,,
3414,1191,False,unknown,,2018-01-29,2018-01-28,regular,2018-01-28,2019-01-29,,,,,,,
3415,5152,True,unknown,18,2023-10-30,2023-10-29,regular,2023-10-29,2024-10-29,,,,,,,
3416,525,True,unknown,,2017-02-26,2017-02-26,regular,2017-02-26,2018-02-26,,,,,,,
3417,31,True,male,,2015-07-12,,Request_CheckIDAddressPhoneDOB,2015-07-12,,,,,,,,
3418,1200,True,unknown,,2018-02-02,,Request_CheckIDAddressPhoneDOB,2018-02-02,,,,,,,,
3419,3478,False,unknown,,2021-12-30,2022-01-02,regular,2022-01-02,2023-01-02,,,,,,,
3420,402,True,female,,2016-11-13,2016-11-13,regular,2019-11-09,2019-11-13,,,,,Y,,
3421,2367,True,female,,2019-08-14,2019-08-13,regular,2023-03-07,2024-03-07,,,,,,,
3422,2456,True,unknown,39,2019-09-14,,Request_CheckIDAddressPhoneDOB,2019-09-14,,,,,,,,
3423,2718,False,unknown,35,2020-01-20,,Request_CheckIDAddressPhoneDOB,2020-01-20,,,,,,,,
3424,2900,False,unknown,,2020-07-19,2021-08-31,regular,2021-08-31,2022-08-31,,,,,,,
3425,2962,False,unknown,,2020-09-19,,Request_CheckIDAddressPhoneDOB,2020-09-19,,,,,,,,
3426,4630,False,unknown,,2023-05-24,2023-05-23,regular,2023-05-23,2024-05-23,,,,,,,
3427,3978,False,unknown,,2022-08-25,2022-08-24,regular,2022-08-24,2023-08-24,,,,,,,
3428,1179,True,other,,2018-01-22,,Request_CheckIDAddressPhoneDOB,2018-01-21,,,,,,,,
3429,4903,True,unknown,,2023-08-13,,Request_CheckIDAddressPhoneDOB,2023-08-13,,,,,,,,
3430,3330,False,unknown,,2021-09-19,2021-09-19,regular,2021-09-19,2022-09-19,,,,,,,
3431,696,False,unknown,,2017-05-27,2017-05-27,regular,2019-01-19,2019-05-27,,,,,,,
3432,1947,True,female,,2019-02-18,2019-02-18,regular,2022-07-17,2023-07-20,,,,,,,
3433,3019,False,unknown,,2020-11-07,2020-11-07,regular,2020-11-07,2021-11-07,,,,,,,
3434,195,True,male,,2016-06-15,2016-06-15,regular,2021-01-09,2022-01-09,,,,,Y,,
3435,5363,True,unknown,,2024-01-20,2024-01-20,regular,2024-01-20,2025-01-20,,,,,,,
3436,3870,True,unknown,,2022-07-20,2022-07-19,regular,2022-07-19,2023-07-19,,,,,,,
3437,2341,True,unknown,,2019-07-31,,Request_CheckIDAddressPhoneDOB,2019-07-30,,,,,,,,
3438,3364,True,unknown,,2021-10-10,2021-10-10,regular,2021-10-10,2022-10-10,,,,,,,
3439,4666,True,unknown,,2023-06-03,2023-06-03,regular,2023-06-03,2024-06-03,,,,,,,
3440,421,True,unknown,,2016-11-29,2017-09-27,regular,2019-12-22,2020-12-22,,,,,,,
3441,3818,True,unknown,,2022-07-02,2022-07-02,regular,2022-07-02,2023-07-02,,,,,,,
3442,3279,False,unknown,32,2021-08-20,,Request_CheckIDAddressPhoneDOB,2021-08-20,,,,,,,,
3443,4908,True,unknown,,2023-08-14,2023-08-13,regular,2023-08-13,2024-08-13,,,,,,,
3444,945,False,female,,2017-09-09,2017-09-09,regular,2017-09-09,2018-09-09,,,,,,,Y
3445,2237,True,unknown,,2019-06-16,2019-06-22,regular,2019-06-22,2020-06-22,,,,,,,
3446,3326,True,unknown,,2021-09-16,2021-09-18,regular,2023-02-26,2024-02-26,,,,,,,
